Number of nodes 662 
   379 :  2.8273557e-01 -5.3323477e-01 
   380 :  3.1863319e-01 -4.9582869e-01 
   381 :  3.0992113e-01 -4.4975885e-01 
   382 :  3.4540435e-01 -4.6680809e-01 
   383 :  3.4578902e-01 -4.2511473e-01 
   384 :  3.7112387e-01 -5.0313172e-01 
   385 : -2.8272928e-01 -5.3320335e-01 
   386 : -3.1864958e-01 -4.9581194e-01 
   387 : -3.0992443e-01 -4.4972176e-01 
   388 : -3.5204924e-01 -4.6671655e-01 
   389 : -3.4865815e-01 -4.2267188e-01 
   390 : -3.6265766e-01 -5.1381372e-01 
   391 : -2.8976990e-01 -7.7114599e-01 
   392 : -2.9790794e-01 -8.1986134e-01 
   393 :  2.9009857e-01  7.7024128e-01 
   394 :  3.0056736e-01  8.2071062e-01 
   395 : -3.8648923e-01 -4.4640340e-01 
   396 :  2.9960380e-02 -8.5566299e-01 
   397 :  9.6059527e-02  8.4027339e-01 
   398 :  1.0214974e-01  8.8901470e-01 
   399 :  4.1748726e-01 -1.2220551e-12 
   400 :  3.7597452e-01  2.3967391e-02 
   401 :  3.7597452e-01  7.1902174e-02 
   402 :  3.7597452e-01 -2.3967391e-02 
   403 :  3.3516845e-01  4.9158767e-02 
   404 :  3.3622459e-01  9.6073563e-02 
   405 :  3.7626832e-01  1.1987096e-01 
   406 :  3.3540388e-01  1.4381467e-01 
   407 :  2.9988610e-01  7.4588140e-02 
   408 :  3.7618050e-01  1.6777913e-01 
   409 :  3.3536091e-01  1.9173990e-01 
   410 :  3.7615871e-01  2.1570788e-01 
   411 :  3.3535810e-01  2.3967401e-01 
   412 :  3.7615460e-01  2.6364155e-01 
   413 :  3.3649070e-01  2.8711364e-01 
   414 :  3.7768480e-01  3.1052325e-01 
   415 : -2.7101274e-01 -9.5869565e-02 
   416 : -3.1181881e-01 -7.0678189e-02 
   417 : -3.1006966e-01 -1.1840897e-01 
   418 : -3.1240770e-01 -2.3763394e-02 
   419 : -3.5254654e-01 -4.7401990e-02 
   420 : -3.5403822e-01  1.1924350e-12 
   421 : -3.1250585e-01  2.4001391e-02 
   422 : -3.5403822e-01  4.7934783e-02 
   423 : -3.1252221e-01  7.1907841e-02 
   424 : -3.5403822e-01  9.5869565e-02 
   425 : -3.1252493e-01  1.1983790e-01 
   426 : -3.5403822e-01  1.4380435e-01 
   427 : -3.1252539e-01  1.6777190e-01 
   428 : -3.5403822e-01  1.9173913e-01 
   429 : -3.1252546e-01  2.1570655e-01 
   430 : -3.5239319e-01  2.3967392e-01 
   431 : -3.1225130e-01  2.6364131e-01 
   432 : -3.5301168e-01  2.8638471e-01 
   433 : -3.8858022e-01  2.6098934e-01 
   434 : -3.1230869e-01  3.1137209e-01 
   435 : -3.5149296e-01  3.3408150e-01 
   436 : -3.1252548e-01  3.5951087e-01 
   437 : -3.5215712e-01  3.8335394e-01 
   438 : -3.1221196e-01  4.0742493e-01 
   439 : -3.5309369e-01  4.3140675e-01 
   440 : -3.1231580e-01  4.5537593e-01 
   441 : -3.5313883e-01  4.7934736e-01 
   442 : -3.1187065e-01  5.0250035e-01 
   443 : -3.4964370e-01  5.2454931e-01 
   444 : -2.7061368e-01  4.7876964e-01 
   445 : -2.7096704e-01  2.3967392e-01 
   446 : -2.7098984e-01  3.9666174e-05 
   447 : -4.1748726e-01 -4.7934783e-02 
   448 : -4.1913229e-01 -9.5869565e-02 
   449 : -3.8033641e-01 -1.1896268e-01 
   450 : -3.8253383e-01 -1.6884991e-01 
   451 :  4.1748726e-01  2.3967391e-01 
   452 :  4.1748726e-01 -3.3554348e-01 
   453 :  3.7597443e-01 -3.1157609e-01 
   454 :  3.7597448e-01 -2.6364125e-01 
   455 :  3.7802648e-01 -3.5856111e-01 
   456 :  3.3553571e-01 -3.3525510e-01 
   457 :  3.3446157e-01 -2.8760864e-01 
   458 :  3.3446170e-01 -2.3967378e-01 
   459 :  4.1754676e-01  1.4380927e-01 
   460 : -2.7101274e-01 -2.3967391e-01 
   461 : -3.1252586e-01 -2.6364116e-01 
   462 : -3.1252564e-01 -3.1157619e-01 
   463 : -3.5404003e-01 -2.8760870e-01 
   464 : -3.5403963e-01 -3.3554592e-01 
   465 : -3.5300897e-01 -2.3999185e-01 
   466 : -3.1164726e-01 -2.1698337e-01 
   467 : -2.7060344e-01 -1.4356635e-01 
   468 : -4.1748726e-01 -2.3967391e-01 
   469 :  3.3691760e-01  1.4279822e-03 
   470 :  3.3633527e-01 -4.7813356e-02 
   471 :  3.7628677e-01 -7.1881936e-02 
   472 :  3.3540593e-01 -9.5863419e-02 
   473 :  3.7618392e-01 -1.1983256e-01 
   474 :  3.3536115e-01 -1.4380389e-01 
   475 : -2.7101210e-01  9.5870667e-02 
   476 :  2.7101274e-01 -2.3967391e-01 
   477 :  4.1748725e-01 -2.3967390e-01 
   478 :  2.7010432e-01 -3.3554384e-01 
   479 : -2.7097661e-01  3.3550948e-01 
   480 : -4.1748726e-01  1.4380435e-01 
   481 :  2.7101274e-01 -1.4380435e-01 
   482 :  2.7101274e-01  1.9173913e-01 
   483 :  2.7101274e-01  2.8760870e-01 
   484 :  4.2192603e-01  4.7316315e-01 
   485 :  3.7231527e-01  5.6982040e-01 
   486 :  4.1902046e-01 -4.7984581e-01 
   487 :  3.6939639e-01 -5.5868969e-01 
   488 : -4.1748726e-01  4.7934783e-01 
   489 : -4.1748726e-01  4.7934783e-02 
   490 :  4.1753930e-01 -4.7931410e-02 
   491 :  2.6899382e-01 -4.7860440e-02 
   492 : -4.1854590e-01 -3.3548032e-01 
   493 :  4.1841042e-01  3.3640967e-01 
   494 : -4.1748726e-01 -1.9173913e-01 
   495 : -4.1950618e-01  3.8340392e-01 
   496 :  4.1752216e-01 -1.4380361e-01 
   497 : -2.7100511e-01  1.9173916e-01 
   498 :  4.1754614e-01  9.5876053e-02 
   499 :  3.7616514e-01 -1.6777079e-01 
   500 : -2.7085903e-01  4.3131248e-01 
   501 :  3.7600628e-01 -2.1570632e-01 
   502 :  4.1956092e-01 -3.8331997e-01 
   503 :  3.3535979e-01 -1.9173901e-01 
   504 : -3.0956348e-01 -1.6893077e-01 
   505 : -2.7073845e-01 -3.3554635e-01 
   506 : -3.1049234e-01 -3.5851726e-01 
   507 : -3.2114446e-01  7.7178319e-01 
   508 : -4.0896152e-01 -5.2284789e-01 
   509 : -3.6343335e-01  6.3344208e-01 
   510 : -3.7996031e-01  6.7543563e-01 
   511 :  1.4068673e-01  8.5603290e-01 
   512 : -1.2637007e-01 -9.2379397e-01 
   513 : -1.9055809e-01 -8.7660397e-01 
   514 : -2.2123907e-01 -8.3982766e-01 
   515 :  3.9847969e-02 -9.0395631e-01 
   516 :  2.8229572e-01 -7.1102055e-01 
   517 : -4.1795987e-01  5.7284322e-01 
   518 : -3.0788251e-01  5.5212081e-01 
   519 :  1.2388065e-01 -8.9790625e-01 
   520 :  2.0417790e-01 -8.8693262e-01 
   521 :  2.8120783e-02  9.1486611e-01 
   522 : -4.5951722e-02  9.4495877e-01 
   523 : -6.6542848e-02  9.0574367e-01 
   524 : -1.1881225e-01  9.0686112e-01 
   525 : -3.7619994e-01  5.8824297e-01 
   526 :  2.6907316e-01 -4.3065017e-01 
   527 : -2.6901922e-01 -4.3064110e-01 
   528 : -1.9799099e-01  8.1596751e-01 
   529 : -1.8318278e-01  8.5879385e-01 
   530 :  2.6902558e-01  4.2837852e-01 
   531 : -3.4607930e-01 -6.0180704e-01 
   532 : -3.7570293e-01 -6.3429357e-01 
   533 : -3.6569265e-01 -5.5799736e-01 
   534 :  3.4031627e-01  6.0660504e-01 
   535 :  3.4607491e-01 -6.0180665e-01 
   536 :  4.6745190e-02  9.6025105e-01 
   537 :  3.3830739e-01 -7.8008799e-01 
   538 : -2.0910445e-01  8.9991612e-01 
   539 :  2.1276345e-01  9.0917878e-01 
   540 :  2.1013140e-01  8.6300635e-01 
   541 :  2.9350231e-01 -8.6034046e-01 
   542 : -2.8973079e-01  8.5029407e-01 
   543 :  4.0219172e-01  6.6245441e-01 
   544 :  1.3417446e-01 -9.4946561e-01 
   545 : -1.3399231e-01  9.5278854e-01 
   546 :  1.3417446e-01  9.4946561e-01 
